"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"VAN","2017","34","266","371","32","38","-6","27.0784","34.3207","-7.2423","1.2423","52","44.743"
"HOU","2017","34","345","335","35","36","-1","38.8557","35.2233","3.6324","-4.6324","50","51.896"
"NYRB","2017","34","317","303","37","29","8","36.4727","31.6355","4.8371","3.1629","50","50.812"
"SKC","2017","34","387","251","31","18","13","34.659","23.2241","11.4349","1.5651","49","56.033"
"SJE","2017","34","375","330","31","45","-14","36.7024","34.724","1.9784","-15.9784","46","46.272"
"FCD","2017","34","359","274","37","35","2","41.3415","27.5662","13.7752","-11.7752","46","54.084"
"NER","2017","34","326","295","39","45","-6","37.8547","33.2537","4.6011","-10.6011","45","49.081"
"RSL","2017","34","420","323","36","43","-7","41.4346","40.0698","1.3647","-8.3647","45","47.664"
"PHI","2017","34","279","311","36","33","3","30.5404","32.8076","-2.2672","5.2672","42","44.42"
"MTL","2017","34","323","348","43","42","1","30.4686","36.7542","-6.2856","7.2856","39","40.093"
"ORL","2017","34","299","294","28","46","-18","26.2014","37.986","-11.7846","-6.2154","39","40.268"
"MIN","2017","34","251","422","32","50","-18","27.3685","47.1789","-19.8104","1.8104","36","30.213"
"COL","2017","34","241","356","28","35","-7","26.2114","35.352","-9.1406","2.1406","33","35.645"
"DCU","2017","34","285","393","18","42","-24","28.1237","42.9727","-14.849","-9.151","32","37.897"
"LAG","2017","34","281","384","26","50","-24","25.4191","41.292","-15.8729","-8.1271","32","38.313"
"NYRB","2018","34","333","278","41","20","21","42.7455","31.916","10.8295","10.1705","71","59.418"
"ATL","2018","34","396","268","46","30","16","52.0351","27.0697","24.9654","-8.9654","69","64.496"
"SKC","2018","34","462","307","51","30","21","42.715","31.8026","10.9124","10.0876","62","56.125"
"SEA","2018","34","327","354","38","28","10","33.7045","39.0058","-5.3013","15.3013","59","44.7"
"FCD","2018","34","373","332","37","30","7","39.9398","31.5432","8.3965","-1.3966","57","51.977"
"LAFC","2018","34","386","313","49","40","9","44.7537","32.8088","11.9449","-2.9449","57","55.185"
"NYC","2018","34","419","309","47","35","12","47.1886","34.3674","12.8213","-0.8213","56","54.887"
"POR","2018","34","339","330","36","35","1","39.8464","36.9618","2.8846","-1.8846","54","50.427"
"DCU","2018","34","277","426","47","39","8","33.2746","41.8974","-8.6227","16.6227","51","44.263"
"CLB","2018","34","350","292","23","32","-9","36.1767","28.827","7.3497","-16.3497","51","57.27"
"PHI","2018","34","347","328","37","34","3","38.9946","38.0524","0.9422","2.0578","50","50.37"
"RSL","2018","34","359","328","42","43","-1","35.3916","40.685","-5.2934","4.2934","49","40.712"
"LAG","2018","34","316","397","52","48","4","40.3836","43.3469","-2.9633","6.9633","48","44.372"
"VAN","2018","34","318","391","41","48","-7","39.0925","41.6123","-2.5198","-4.4802","47","43.835"
"MTL","2018","34","315","306","33","33","0","32.9232","32.3068","0.6163","-0.6163","46","45.629"
"NER","2018","34","368","316","36","37","-1","35.6824","42.1328","-6.4503","5.4503","41","40.843"
"HOU","2018","34","365","315","40","38","2","44.6877","35.1863","9.5013","-7.5013","38","50.597"
"TOR","2018","34","357","356","47","49","-2","44.785","42.5907","2.1943","-4.1943","36","48.378"
"MIN","2018","34","293","406","42","53","-11","37.6922","40.7312","-3.0389","-7.9611","36","40.118"
"CHI","2018","34","252","386","34","49","-15","27.7843","45.6303","-17.846","2.846","32","33.491"
"COL","2018","34","271","415","24","52","-28","22.9596","46.8972","-23.9376","-4.0624","31","34.651"
"ORL","2018","34","322","365","29","50","-21","31.2328","47.4097","-16.1769","-4.8231","28","35.521"
"SJE","2018","34","346","373","34","53","-19","34.0034","45.2114","-11.2081","-7.7919","21","37.883"
"LAFC","2019","34","459","243","66","28","38","61.23","28.1897","33.0403","4.9597","72","72.643"
"NYC","2019","34","393","280","53","25","28","43.8884","29.3968","14.4916","13.5084","64","53.73"
"ATL","2019","34","379","287","41","35","6","41.9515","34.4941","7.4573","-1.4573","58","54.997"
"SEA","2019","34","310","368","41","35","6","39.2137","42.9371","-3.7234","9.7234","56","45.867"
"PHI","2019","34","342","283","47","36","11","41.1128","33.3885","7.7243","3.2757","55","53.063"
"RSL","2019","34","334","313","32","30","2","29.2734","29.9713","-0.6978","2.6978","53","45.431"
"MIN","2019","34","370","365","37","28","9","40.2047","34.885","5.3197","3.6803","53","52.384"
"LAG","2019","34","351","458","43","44","-1","46.1429","48.1791","-2.0362","1.0362","51","47.212"
"DCU","2019","34","273","434","25","31","-6","26.1736","41.2367","-15.0632","9.0632","50","39.772"
"TOR","2019","34","336","308","43","35","8","40.7118","35.7359","4.9758","3.0242","50","46.818"
"POR","2019","34","420","354","36","34","2","42.2376","41.406","0.8316","1.1684","49","46.228"
"FCD","2019","34","354","297","40","34","6","37.6037","33.3733","4.2304","1.7696","48","48.505"
"NYRB","2019","34","312","303","39","35","4","36.9706","35.6914","1.2792","2.7208","48","45.776"
"NER","2019","34","349","367","37","39","-2","38.5445","49.2901","-10.7456","8.7456","45","41.166"
"SJE","2019","34","461","325","39","40","-1","46.342","37.0977","9.2443","-10.2443","44","51.094"
"COL","2019","34","328","394","33","42","-9","36.2076","48.257","-12.0494","3.0494","42","40.895"
"CHI","2019","34","358","284","37","36","1","45.1195","33.6545","11.465","-10.465","42","53.693"
"MTL","2019","34","279","278","31","39","-8","28.2646","35.0117","-6.747","-1.253","41","44.923"
"HOU","2019","34","353","359","38","43","-5","39.8081","37.8695","1.9387","-6.9387","40","48.02"
"SKC","2019","34","361","332","33","53","-20","41.7296","40.403","1.3267","-21.3266","38","48.327"
"CLB","2019","34","296","326","28","33","-5","30.1546","34.7442","-4.5896","-0.4104","38","43.172"
"ORL","2019","34","281","363","32","45","-13","35.2242","36.2329","-1.0087","-11.9913","37","47.442"
"VAN","2019","34","269","522","24","40","-16","25.7812","47.5828","-21.8016","5.8016","34","30.511"
"CIN","2019","34","262","387","22","57","-35","23.3722","48.2344","-24.8623","-10.1377","24","29.706"
"SKC","2020","2","23","11","4","1","3","1.998","2.047","-0.049","3.049","6","2.932"
"ATL","2020","2","10","21","3","1","2","1.7444","1.1398","0.6046","1.3954","6","2.949"
"MIN","2020","2","19","26","5","0","5","2.984","2.6434","0.3405","4.6595","6","2.85"
"COL","2020","2","23","18","2","1","1","1.824","1.3555","0.4685","0.5315","6","3.039"
"NYRB","2020","2","16","15","4","3","1","2.3481","2.637","-0.2888","1.2888","4","1.744"
"TOR","2020","2","20","18","2","1","1","2.8769","1.5569","1.3199","-0.32","4","4.773"
"SEA","2020","2","21","14","1","2","-1","3.1387","1.518","1.6206","-2.6207","4","4.832"
"CLB","2020","2","17","14","2","0","2","2.4606","0.8688","1.5918","0.4082","4","3.04"
"LAFC","2020","2","31","15","2","2","0","3.5209","1.8766","1.6443","-1.6443","4","3.719"
"MTL","2020","2","14","24","3","2","1","2.2989","3.3763","-1.0774","2.0774","4","1.966"
"FCD","2020","2","22","18","4","2","2","3.1396","1.7914","1.3482","0.6518","4","3.63"
"DCU","2020","2","12","25","0","2","-2","0.9712","2.6051","-1.6339","-0.3661","3","2.101"
"VAN","2020","2","15","19","2","2","0","2.3143","0.9757","1.3385","-1.3385","3","4.495"
"POR","2020","2","13","17","1","3","-2","1.4324","2.5708","-1.1384","-0.8616","3","2.059"
"RSL","2020","2","11","11","1","1","0","1.0434","1.0274","0.016","-0.016","2","3.451"
"HOU","2020","2","19","23","1","3","-2","1.2121","2.7746","-1.5625","-0.4375","1","1.387"
"LAG","2020","2","19","23","1","2","-1","1.7524","1.4794","0.273","-1.273","1","2.32"
"CHI","2020","2","25","22","2","2","0","1.5507","4.3741","-2.8234","2.8234","1","0.733"
"ORL","2020","2","17","13","1","1","0","1.4309","0.796","0.6349","-0.6349","1","3.142"
"SJE","2020","2","22","18","1","3","-2","1.8433","2.0767","-0.2335","-1.7665","1","1.661"
"PHI","2020","2","18","23","2","3","-1","1.2271","2.7227","-1.4956","0.4956","1","1.95"
"NER","2020","2","21","23","1","2","-1","2.9354","2.0525","0.8829","-1.8829","1","3.504"
"CIN","2020","2","21","18","3","5","-2","2.4614","3.6356","-1.1742","-0.8258","0","1.752"
"NYC","2020","2","15","27","0","2","-2","1.2466","3.6061","-2.3596","0.3596","0","0.816"
"NSH","2020","2","18","6","0","2","-2","1.2788","0.4162","0.8626","-2.8626","0","3.89"
"MIA","2020","2","20","20","1","1","0","2.6641","1.7745","0.8896","-0.8896","0","3.142"
